0.02000, 0.087546, 0.092352, 0.089949, 0.000019, 0.000953
0.04000, 0.178776, 0.180606, 0.179691, 0.000095, 0.002374
0.06000, 0.268105, 0.269492, 0.268799, 0.000205, 0.003424
0.08000, 0.335967, 0.336418, 0.336192, 0.000361, 0.004518
0.10000, 0.334152, 0.334526, 0.334339, 0.000569, 0.005690
0.12000, 0.329579, 0.329518, 0.329548, 0.000790, 0.006586
0.14000, 0.325233, 0.324580, 0.324907, 0.000965, 0.006891
0.16000, 0.318094, 0.318190, 0.318142, 0.001139, 0.007122
0.18000, 0.312532, 0.312062, 0.312297, 0.001287, 0.007150
0.20000, 0.305493, 0.304918, 0.305205, 0.001411, 0.007055
0.22000, 0.299418, 0.299432, 0.299425, 0.001523, 0.006924
0.24000, 0.293071, 0.293109, 0.293090, 0.001612, 0.006719
0.26000, 0.286458, 0.286234, 0.286346, 0.001610, 0.006193
0.28000, 0.280097, 0.279805, 0.279951, 0.001641, 0.005860
0.30000, 0.273453, 0.273721, 0.273587, 0.001680, 0.005599
0.32000, 0.266527, 0.266531, 0.266529, 0.001608, 0.005024
0.34000, 0.259833, 0.259927, 0.259880, 0.001563, 0.004598
0.36000, 0.253130, 0.252881, 0.253006, 0.001508, 0.004188
0.38000, 0.245943, 0.245940, 0.245942, 0.001416, 0.003725
0.40000, 0.239025, 0.239107, 0.239066, 0.001298, 0.003246
0.42000, 0.231817, 0.232059, 0.231938, 0.001206, 0.002873
0.44000, 0.224898, 0.224864, 0.224881, 0.001086, 0.002468
0.46000, 0.217623, 0.217672, 0.217648, 0.000956, 0.002079
0.48000, 0.210483, 0.210492, 0.210487, 0.000837, 0.001743
0.50000, 0.203023, 0.203309, 0.203166, 0.000699, 0.001398
