0.02000, 0.032736, 0.147166, 0.089951, 0.000451, 0.022556
0.04000, 0.101051, 0.258234, 0.179642, 0.001151, 0.028781
0.06000, 0.192831, 0.344610, 0.268721, 0.001654, 0.027565
0.08000, 0.276772, 0.400781, 0.338777, 0.001873, 0.023417
0.10000, 0.281834, 0.392312, 0.337073, 0.002142, 0.021423
0.12000, 0.282164, 0.380183, 0.331174, 0.002407, 0.020054
0.14000, 0.281061, 0.369227, 0.325144, 0.002586, 0.018475
0.16000, 0.279579, 0.357789, 0.318684, 0.002758, 0.017237
0.18000, 0.278525, 0.346591, 0.312558, 0.002938, 0.016321
0.20000, 0.277611, 0.336006, 0.306808, 0.003116, 0.015582
0.22000, 0.275377, 0.325363, 0.300370, 0.003192, 0.014509
0.24000, 0.272248, 0.314808, 0.293528, 0.003173, 0.013221
0.26000, 0.270423, 0.304315, 0.287369, 0.003229, 0.012420
0.28000, 0.266044, 0.295379, 0.280711, 0.003142, 0.011222
0.30000, 0.263358, 0.284694, 0.274026, 0.003077, 0.010257
0.32000, 0.258360, 0.275931, 0.267146, 0.002946, 0.009206
0.34000, 0.253668, 0.266865, 0.260266, 0.002756, 0.008107
0.36000, 0.248036, 0.258023, 0.253030, 0.002572, 0.007146
0.38000, 0.243183, 0.249870, 0.246527, 0.002371, 0.006238
0.40000, 0.237788, 0.241360, 0.239574, 0.002147, 0.005367
0.42000, 0.231367, 0.233029, 0.232198, 0.001907, 0.004541
0.44000, 0.225178, 0.224695, 0.224937, 0.001685, 0.003829
0.46000, 0.218757, 0.216942, 0.217849, 0.001436, 0.003122
0.48000, 0.211367, 0.209679, 0.210523, 0.001239, 0.002582
0.50000, 0.205161, 0.201506, 0.203334, 0.001004, 0.002007
