0.02000, 0.090053, 0.089826, 0.089939, 0.000023, 0.001173
0.04000, 0.179194, 0.179733, 0.179463, 0.000163, 0.004068
0.06000, 0.265324, 0.265138, 0.265231, 0.000754, 0.012564
0.08000, 0.315397, 0.315298, 0.315348, 0.002854, 0.035680
0.10000, 0.322849, 0.323013, 0.322931, 0.005059, 0.050591
0.12000, 0.323449, 0.323738, 0.323593, 0.006888, 0.057404
0.14000, 0.322358, 0.322106, 0.322232, 0.008491, 0.060648
0.16000, 0.318875, 0.318840, 0.318858, 0.009865, 0.061656
0.18000, 0.314375, 0.313817, 0.314096, 0.010879, 0.060439
0.20000, 0.308962, 0.309044, 0.309003, 0.011813, 0.059064
0.22000, 0.303419, 0.303659, 0.303539, 0.012660, 0.057544
0.24000, 0.298094, 0.297990, 0.298042, 0.013419, 0.055912
0.26000, 0.291948, 0.291773, 0.291861, 0.014126, 0.054331
0.28000, 0.285515, 0.285277, 0.285396, 0.014550, 0.051963
0.30000, 0.279197, 0.279177, 0.279187, 0.015052, 0.050174
0.32000, 0.272325, 0.272640, 0.272482, 0.015277, 0.047741
0.34000, 0.265477, 0.265480, 0.265478, 0.015419, 0.045349
0.36000, 0.258271, 0.258412, 0.258341, 0.015587, 0.043297
0.38000, 0.251342, 0.251350, 0.251346, 0.015624, 0.041117
0.40000, 0.243899, 0.244089, 0.243994, 0.015376, 0.038440
0.42000, 0.236982, 0.236795, 0.236889, 0.015314, 0.036463
0.44000, 0.229367, 0.229638, 0.229502, 0.015093, 0.034303
0.46000, 0.222120, 0.222052, 0.222086, 0.014776, 0.032121
0.48000, 0.214693, 0.214689, 0.214691, 0.014317, 0.029827
0.50000, 0.206951, 0.207080, 0.207015, 0.013842, 0.027685
