0.02000, 0.089678, 0.090252, 0.089965, 0.000013, 0.000648, 0.000647,
0.04000, 0.180109, 0.179212, 0.179661, 0.000067, 0.001679, 0.001679,
0.06000, 0.269085, 0.268636, 0.268861, 0.000163, 0.002719, 0.002719,
0.08000, 0.343857, 0.343872, 0.343865, 0.000307, 0.003843, 0.003843,
0.10000, 0.337635, 0.338664, 0.338150, 0.000472, 0.004715, 0.004715,
0.12000, 0.333033, 0.332043, 0.332538, 0.000599, 0.004988, 0.004988,
0.14000, 0.327750, 0.327314, 0.327532, 0.000756, 0.005397, 0.005397,
0.16000, 0.320401, 0.320408, 0.320405, 0.000894, 0.005588, 0.005588,
0.18000, 0.314041, 0.314136, 0.314089, 0.000984, 0.005468, 0.005468,
0.20000, 0.308486, 0.308092, 0.308289, 0.001099, 0.005495, 0.005495,
0.22000, 0.301955, 0.301509, 0.301732, 0.001181, 0.005368, 0.005368,
0.24000, 0.295123, 0.295297, 0.295210, 0.001226, 0.005107, 0.005107,
0.26000, 0.288611, 0.288329, 0.288470, 0.001306, 0.005025, 0.005025,
0.28000, 0.282203, 0.282062, 0.282133, 0.001369, 0.004888, 0.004888,
0.30000, 0.274830, 0.274894, 0.274862, 0.001346, 0.004486, 0.004486,
0.32000, 0.268470, 0.268470, 0.268470, 0.001349, 0.004216, 0.004216,
0.34000, 0.261305, 0.261643, 0.261474, 0.001326, 0.003901, 0.003901,
0.36000, 0.254513, 0.254497, 0.254505, 0.001293, 0.003591, 0.003591,
0.38000, 0.247364, 0.247750, 0.247557, 0.001248, 0.003284, 0.003284,
0.40000, 0.240477, 0.240524, 0.240501, 0.001191, 0.002979, 0.002979,
0.42000, 0.233157, 0.233391, 0.233274, 0.001116, 0.002657, 0.002657,
0.44000, 0.226152, 0.225922, 0.226037, 0.001041, 0.002365, 0.002365,
0.46000, 0.218850, 0.218462, 0.218656, 0.000940, 0.002044, 0.002044,
0.48000, 0.211210, 0.211463, 0.211336, 0.000839, 0.001749, 0.001749,
0.50000, 0.204240, 0.204060, 0.204150, 0.000736, 0.001471, 0.001471,
