0.02000, 0.011714, 0.167341, 0.089528, 0.000387, 0.019330, 0.019330,
0.04000, 0.055502, 0.293445, 0.174474, 0.002236, 0.055902, 0.055902,
0.06000, 0.112242, 0.342261, 0.227251, 0.006794, 0.113236, 0.113236,
0.08000, 0.154224, 0.342300, 0.248262, 0.011709, 0.146367, 0.146367,
0.10000, 0.186412, 0.336383, 0.261398, 0.016032, 0.160318, 0.160318,
0.12000, 0.210865, 0.329207, 0.270036, 0.019765, 0.164708, 0.164708,
0.14000, 0.228217, 0.322475, 0.275346, 0.022895, 0.163536, 0.163536,
0.16000, 0.241011, 0.315309, 0.278160, 0.025572, 0.159828, 0.159828,
0.18000, 0.248473, 0.308295, 0.278384, 0.027821, 0.154559, 0.154559,
0.20000, 0.254256, 0.301273, 0.277765, 0.029831, 0.149157, 0.149157,
0.22000, 0.257085, 0.294034, 0.275560, 0.031520, 0.143271, 0.143271,
0.24000, 0.258770, 0.286758, 0.272764, 0.032935, 0.137231, 0.137231,
0.26000, 0.259287, 0.279798, 0.269543, 0.034149, 0.131343, 0.131343,
0.28000, 0.258360, 0.272403, 0.265381, 0.035111, 0.125396, 0.125396,
0.30000, 0.256622, 0.265127, 0.260874, 0.035835, 0.119450, 0.119450,
0.32000, 0.254785, 0.258029, 0.256407, 0.036563, 0.114260, 0.114260,
0.34000, 0.251709, 0.250594, 0.251151, 0.036914, 0.108571, 0.108571,
0.36000, 0.248042, 0.243521, 0.245782, 0.037203, 0.103342, 0.103342,
0.38000, 0.244130, 0.236381, 0.240255, 0.037309, 0.098181, 0.098181,
0.40000, 0.239934, 0.229348, 0.234641, 0.037137, 0.092841, 0.092841,
0.42000, 0.235414, 0.222263, 0.228839, 0.036839, 0.087712, 0.087712,
0.44000, 0.230197, 0.215049, 0.222623, 0.036287, 0.082472, 0.082472,
0.46000, 0.224652, 0.208161, 0.216406, 0.035712, 0.077635, 0.077635,
0.48000, 0.219276, 0.201152, 0.210214, 0.034953, 0.072819, 0.072819,
0.50000, 0.213029, 0.194325, 0.203677, 0.033859, 0.067718, 0.067718,
