0.02000, 0.005383, 0.173883, 0.089633, 0.000052, 0.002586, 0.002586,
0.04000, 0.037844, 0.311237, 0.174541, 0.000580, 0.014488, 0.014488,
0.06000, 0.101150, 0.353387, 0.227268, 0.003054, 0.050904, 0.050904,
0.08000, 0.149104, 0.354562, 0.251833, 0.006240, 0.078004, 0.078004,
0.10000, 0.180049, 0.348022, 0.264035, 0.009070, 0.090702, 0.090702,
0.12000, 0.204643, 0.340320, 0.272481, 0.011575, 0.096459, 0.096459,
0.14000, 0.220981, 0.331668, 0.276324, 0.013539, 0.096705, 0.096705,
0.16000, 0.233143, 0.323338, 0.278241, 0.015131, 0.094568, 0.094568,
0.18000, 0.242874, 0.315476, 0.279175, 0.016482, 0.091568, 0.091568,
0.20000, 0.249688, 0.307840, 0.278764, 0.017565, 0.087827, 0.087827,
0.22000, 0.253635, 0.299674, 0.276654, 0.018351, 0.083413, 0.083413,
0.24000, 0.255213, 0.292260, 0.273737, 0.018726, 0.078027, 0.078027,
0.26000, 0.255619, 0.284768, 0.270194, 0.018997, 0.073064, 0.073064,
0.28000, 0.255565, 0.277574, 0.266569, 0.019164, 0.068441, 0.068441,
0.30000, 0.253981, 0.269827, 0.261904, 0.019112, 0.063706, 0.063706,
0.32000, 0.251705, 0.262545, 0.257125, 0.018887, 0.059021, 0.059021,
0.34000, 0.249076, 0.255300, 0.252188, 0.018639, 0.054820, 0.054820,
0.36000, 0.245708, 0.248114, 0.246911, 0.018224, 0.050623, 0.050623,
0.38000, 0.241735, 0.240826, 0.241280, 0.017732, 0.046664, 0.046664,
0.40000, 0.237425, 0.233474, 0.235449, 0.017191, 0.042978, 0.042978,
0.42000, 0.232127, 0.226327, 0.229227, 0.016447, 0.039159, 0.039159,
0.44000, 0.226609, 0.219163, 0.222886, 0.015657, 0.035583, 0.035583,
0.46000, 0.220739, 0.211921, 0.216330, 0.014838, 0.032256, 0.032256,
0.48000, 0.215170, 0.204830, 0.210000, 0.014025, 0.029219, 0.029219,
0.50000, 0.208427, 0.197714, 0.203070, 0.013096, 0.026193, 0.026193,
