0.02000, 0.089886, 0.089913, 0.089900, 0.000003, 0.000143, 0.000143,
0.04000, 0.180864, 0.178192, 0.179528, 0.000010, 0.000262, 0.000262,
0.06000, 0.268996, 0.268065, 0.268530, 0.000022, 0.000366, 0.000366,
0.08000, 0.334320, 0.336240, 0.335280, 0.000062, 0.000779, 0.000779,
0.10000, 0.333095, 0.332529, 0.332812, 0.000161, 0.001610, 0.001610,
0.12000, 0.327110, 0.327532, 0.327321, 0.000243, 0.002025, 0.002025,
0.14000, 0.321127, 0.321295, 0.321211, 0.000318, 0.002271, 0.002271,
0.16000, 0.315858, 0.316442, 0.316150, 0.000376, 0.002352, 0.002352,
0.18000, 0.310868, 0.310354, 0.310611, 0.000451, 0.002505, 0.002505,
0.20000, 0.305706, 0.304052, 0.304879, 0.000494, 0.002469, 0.002469,
0.22000, 0.298254, 0.298535, 0.298395, 0.000554, 0.002517, 0.002517,
0.24000, 0.292439, 0.291942, 0.292191, 0.000587, 0.002447, 0.002447,
0.26000, 0.285525, 0.285191, 0.285358, 0.000594, 0.002285, 0.002285,
0.28000, 0.279054, 0.278995, 0.279024, 0.000610, 0.002180, 0.002180,
0.30000, 0.272828, 0.273118, 0.272973, 0.000610, 0.002033, 0.002033,
0.32000, 0.266014, 0.265818, 0.265916, 0.000608, 0.001901, 0.001901,
0.34000, 0.258947, 0.259458, 0.259203, 0.000589, 0.001732, 0.001732,
0.36000, 0.252214, 0.251930, 0.252072, 0.000561, 0.001558, 0.001558,
0.38000, 0.245315, 0.245536, 0.245426, 0.000529, 0.001393, 0.001393,
0.40000, 0.238622, 0.238475, 0.238548, 0.000493, 0.001234, 0.001234,
0.42000, 0.231510, 0.231792, 0.231651, 0.000454, 0.001080, 0.001080,
0.44000, 0.224342, 0.224738, 0.224540, 0.000408, 0.000928, 0.000928,
0.46000, 0.217317, 0.217270, 0.217294, 0.000362, 0.000786, 0.000786,
0.48000, 0.210475, 0.209936, 0.210205, 0.000309, 0.000644, 0.000644,
0.50000, 0.203149, 0.202770, 0.202960, 0.000271, 0.000542, 0.000542,
