0.02000, 0.009859, 0.169682, 0.089771, 0.000026, 0.001317, 0.001317,
0.04000, 0.056225, 0.301681, 0.178953, 0.000107, 0.002676, 0.002676,
0.06000, 0.143960, 0.390077, 0.267018, 0.000197, 0.003283, 0.003283,
0.08000, 0.239883, 0.423961, 0.331922, 0.000372, 0.004653, 0.004653,
0.10000, 0.259673, 0.407112, 0.333393, 0.000582, 0.005823, 0.005823,
0.12000, 0.263162, 0.391274, 0.327218, 0.000691, 0.005760, 0.005760,
0.14000, 0.269227, 0.374430, 0.321829, 0.000837, 0.005979, 0.005979,
0.16000, 0.273171, 0.361258, 0.317214, 0.000944, 0.005898, 0.005898,
0.18000, 0.275639, 0.346390, 0.311015, 0.001072, 0.005957, 0.005957,
0.20000, 0.275282, 0.334837, 0.305059, 0.001101, 0.005506, 0.005506,
0.22000, 0.274921, 0.322401, 0.298661, 0.001146, 0.005208, 0.005208,
0.24000, 0.273541, 0.311145, 0.292343, 0.001173, 0.004887, 0.004887,
0.26000, 0.271533, 0.301128, 0.286330, 0.001175, 0.004519, 0.004519,
0.28000, 0.267574, 0.291537, 0.279555, 0.001146, 0.004094, 0.004094,
0.30000, 0.263930, 0.281920, 0.272925, 0.001108, 0.003694, 0.003694,
0.32000, 0.258996, 0.273137, 0.266067, 0.001057, 0.003303, 0.003303,
0.34000, 0.255326, 0.264025, 0.259675, 0.001002, 0.002947, 0.002947,
0.36000, 0.249585, 0.255335, 0.252460, 0.000939, 0.002608, 0.002608,
0.38000, 0.244799, 0.247304, 0.246051, 0.000859, 0.002261, 0.002261,
0.40000, 0.238525, 0.239288, 0.238906, 0.000780, 0.001951, 0.001951,
0.42000, 0.232157, 0.231270, 0.231713, 0.000698, 0.001663, 0.001663,
0.44000, 0.225739, 0.223533, 0.224636, 0.000607, 0.001380, 0.001380,
0.46000, 0.219107, 0.216143, 0.217625, 0.000530, 0.001152, 0.001152,
0.48000, 0.211996, 0.208555, 0.210276, 0.000453, 0.000944, 0.000944,
0.50000, 0.205322, 0.200574, 0.202948, 0.000364, 0.000728, 0.000728,
