0.02000, 0.091224, 0.088759, 0.089991, 0.000046, 0.002281
0.04000, 0.179271, 0.180142, 0.179706, 0.000267, 0.006663
0.06000, 0.268802, 0.268978, 0.268890, 0.000692, 0.011539
0.08000, 0.341523, 0.340694, 0.341108, 0.001251, 0.015639
0.10000, 0.338087, 0.339009, 0.338548, 0.001748, 0.017480
0.12000, 0.332051, 0.332490, 0.332270, 0.002106, 0.017546
0.14000, 0.326913, 0.326944, 0.326929, 0.002592, 0.018515
0.16000, 0.321073, 0.320986, 0.321029, 0.002980, 0.018627
0.18000, 0.314601, 0.314462, 0.314532, 0.003230, 0.017945
0.20000, 0.307881, 0.308129, 0.308005, 0.003552, 0.017760
0.22000, 0.301956, 0.302389, 0.302173, 0.003765, 0.017113
0.24000, 0.295259, 0.295453, 0.295356, 0.003978, 0.016575
0.26000, 0.288309, 0.288870, 0.288589, 0.004102, 0.015777
0.28000, 0.282109, 0.282368, 0.282239, 0.004173, 0.014904
0.30000, 0.275363, 0.275630, 0.275496, 0.004258, 0.014192
0.32000, 0.268677, 0.268612, 0.268645, 0.004186, 0.013082
0.34000, 0.262000, 0.261715, 0.261857, 0.004093, 0.012037
0.36000, 0.254766, 0.254816, 0.254791, 0.003919, 0.010885
0.38000, 0.247784, 0.248249, 0.248017, 0.003767, 0.009914
0.40000, 0.240659, 0.240690, 0.240674, 0.003586, 0.008964
0.42000, 0.233622, 0.233463, 0.233542, 0.003321, 0.007908
0.44000, 0.226300, 0.226474, 0.226387, 0.003060, 0.006954
0.46000, 0.218902, 0.219117, 0.219010, 0.002760, 0.006000
0.48000, 0.211404, 0.211687, 0.211546, 0.002463, 0.005131
0.50000, 0.204267, 0.203943, 0.204105, 0.002132, 0.004264
